LATITUDE,LONGITUDE,INJURIES_INCAPACITATING
41.891000234839694,-87.63260105494656,164
41.883822489435296,-87.62584331668235,99
41.894027749749995,-87.62631343827273,91
41.87135562207547,-87.74487887745282,69
41.878970805898305,-87.72734727128812,65
41.86617489824074,-87.72176955070371,64
41.75107297922222,-87.58525929307407,62
41.91120155594285,-87.62652850745714,45
41.874690344777775,-87.67467893494444,42
41.88068827867647,-87.75324274341176,42
41.79115013059375,-87.57989491225,41
41.80807275215152,-87.74316434851515,39
41.87896690390476,-87.68648380316667,38
41.79449285803226,-87.63145042651612,36
41.87696305334375,-87.74420966178126,34
41.738125674555555,-87.6049211335926,34
41.887880068130436,-87.62053460747826,33
41.88647600265517,-87.7439539062069,33
41.891762626035714,-87.61410512775001,31
41.87754945391304,-87.72170754169565,31
41.90059043503448,-87.61963465993102,31
41.87243435855556,-87.72540829037037,31
41.8833523316087,-87.63504196669565,30
41.93871026236666,-87.7611551555,30
41.75809562430769,-87.58583103819231,30
41.88599223638095,-87.73610589471429,29
41.896379964318186,-87.61679488695455,29
41.759143081,-87.66366442423809,29
41.90975495992,-87.73563248912,28
41.7721156421,-87.5862413202,28
41.90014631836,-87.62420430276,28
41.90354021676,-87.66671473164,28
41.73809032528,-87.58544552504,27
41.8747389355,-87.62410177645455,27
41.88148612868421,-87.76536493563158,26
41.794031285900004,-87.6646305562,25
41.749908521142856,-87.70307355947618,25
41.866755061666666,-87.71061895427778,25
41.88224684805,-87.725597706,25
41.91719827114285,-87.71380360757142,25
41.94056162577272,-87.6386276714091,25
41.73659406252381,-87.61227639804763,24
41.9766809825,-87.65066788242858,24
41.77986235289474,-87.60601666336842,24
41.89495154755,-87.7657429988,24
41.80895125916667,-87.66559977208334,24
41.86974186931579,-87.64287569721053,23
41.7755515239375,-87.5758556659375,23
41.895058739956525,-87.74746179178261,23
41.99724878533333,-87.78809974044445,23
41.891269246,-87.64781589019047,23
41.74909492794737,-87.6828621371579,22
41.83715224186667,-87.70481280886666,22
41.8821036438125,-87.73744440225,22
41.86695998647826,-87.6563634607826,22
41.88459960628571,-87.64913069942857,22
41.88637863307143,-87.755391174,22
41.89589064257895,-87.65472191942105,21
41.873475272,-87.72010738520001,21
41.880943500692304,-87.61751218823078,21
41.909230520363636,-87.75864975313635,21
41.82370035152941,-87.62297065858824,21
41.78014007311765,-87.62091714688235,21
41.73566997133334,-87.64421375433334,20
41.76504337085714,-87.6638770095238,20
41.89569698155556,-87.72607809483333,20
41.7144863048125,-87.64300812875,20
41.76551964577778,-87.62759257211111,20
41.923959793352935,-87.69905827029413,20
41.86747649035294,-87.63977778070588,20
41.76560087769231,-87.63123250807692,19
41.79985265053846,-87.58148580192308,19
41.73551653253333,-87.68248252453333,19
41.7581490945,-87.6239575285625,19
41.87623761013333,-87.6962045552,19
41.73579475,-87.66299460409091,19
41.736248642,-87.62499886233334,19
41.851475079375,-87.72411488575,19
41.77964327221429,-87.64500462271428,19
41.757606384000006,-87.6056123098889,19
41.986304192611115,-87.65580293722222,19
41.760278521000004,-87.64408137933333,19
41.894759921550005,-87.75500511589999,19
41.7508337073,-87.6255101431,19
41.98125846973333,-87.80687962753333,18
41.93225532394118,-87.64446865217647,18
41.82301852,-87.68470180325001,18
41.88519765482353,-87.71165948817647,18
41.7662276561875,-87.57538636168749,18
41.7659451828125,-87.7224701114375,18
41.77273201453333,-87.62994938513334,18
41.692345380928565,-87.66096304878572,18
41.838504452,-87.6086933989091,18
41.77997421341177,-87.63107702676471,18
41.88152295933333,-87.66676647946666,18
41.906285109600006,-87.62524479433334,17
41.843498246,-87.7249010875625,17
41.8604959875,-87.72529060275,17
41.881504052749996,-87.71073567408332,17
41.86597232658333,-87.68604420483332,17
41.75069963,-87.6153440204,17
41.76511890806667,-87.64458785153333,17
41.68511336364286,-87.64111131907143,17
41.84752006084615,-87.73450759561538,17
41.775758313888886,-87.58553744127778,17
41.72242200888889,-87.58506861594444,17
41.80128056021053,-87.68457936273684,16
41.9533544866875,-87.728192889125,16
41.8745737792,-87.66737376206667,16
41.87316859841666,-87.61722709558335,16
41.847103551125,-87.64658075975,16
41.96848333364286,-87.71413242628572,16
41.79429971754546,-87.644109564,16
41.9915557944,-87.66030294793333,16
41.97566605346154,-87.76829457576923,16
41.88565575557143,-87.7260891535,16
41.947298385857145,-87.65157751785715,16
41.7864865213125,-87.6648282030625,16
41.990176984071425,-87.74830051364286,15
41.85284160808333,-87.63076781033334,15
41.72167530914286,-87.62429792942858,15
41.895995288,-87.7017465120909,15
41.74410835166666,-87.591132551,15
41.8238614271,-87.6151756632,15
41.88523911283333,-87.72130921791667,15
41.88109574375,-87.745384566625,15
41.76866229376923,-87.68339541307692,15
41.88035205223077,-87.75930878792308,15
41.7799960496,-87.6254603676,15
41.899084473230765,-87.72621699353846,15
41.758710537846156,-87.59684426715384,15
41.88145625561538,-87.72087161984616,15
41.74471903486666,-87.60499802453334,15
41.779674494615385,-87.61504380315385,15
41.87607361966666,-87.7549534764,15
41.66330621838461,-87.641357915,15
41.9106917894,-87.67817561400001,15
41.91774881535714,-87.68947194057144,15
41.92516811246154,-87.67796762046154,15
41.765319082,-87.62490970273332,15
41.72143833464286,-87.64301911842857,14
41.87840911415385,-87.63709464961539,14
41.881945980000005,-87.63638872454545,14
41.77299303927273,-87.61488314363636,14
41.90932346742857,-87.7265528745,14
41.868047162466674,-87.62482724453334,14
41.86618476546154,-87.74465747207692,14
41.81382973633333,-87.70431171206666,14
41.902545629461535,-87.72564692138462,14
41.8080286439,-87.7136666144,14
41.76862925042857,-87.66406405800001,14
41.90546641823077,-87.72626165707692,14
41.93954435269231,-87.71209936938462,14
41.87391662493334,-87.7108484256,14
41.87627810591667,-87.62955503191667,14
41.87408741146154,-87.73524181292308,14
41.75556821325,-87.66362093041666,14
41.89297463676923,-87.62034021046155,14
41.779081077125,-87.6642326029375,14
41.77830284144445,-87.74254140444445,14
41.8955581631875,-87.7063657573125,14
41.691889258928576,-87.642369682,14
41.76481138128571,-87.68325376785715,14
41.946135684333335,-87.747744393,14
42.00632888058333,-87.66118692833334,14
41.822342072000005,-87.69443451435714,14
41.7333926684,-87.5852999508,13
41.75105095676923,-87.60525838915386,13
41.81591589614286,-87.72394246214286,13
41.99734963654545,-87.76671752327273,13
41.88416235375,-87.7013849915,13
41.79347084346154,-87.67429427976923,13
41.93626163990909,-87.74668677154546,13
41.88394924936364,-87.64195165472728,13
41.772695643599995,-87.6254249612,13
41.7521065752,-87.5662232869,13
41.83503293508333,-87.608003129,13
41.7370629965,-87.575729117625,13
41.74896632191667,-87.741209176,13
41.76561830033334,-87.60518236841666,13
41.799962244166665,-87.58760968325,13
41.836857975375,-87.724695215125,13
41.75023892118182,-87.66364673018182,13
41.772006662416665,-87.66425271308333,13
41.808092813076925,-87.70584681823077,13
41.77878610007693,-87.70278771523077,13
41.890405889,-87.667125794125,13
41.773158542800005,-87.5668195122,13
41.831129110666666,-87.61783454483333,13
41.785329472916665,-87.72294029433334,13
41.79740842091667,-87.72337820466667,13
41.955124496,-87.89305210288889,12
41.744197104,-87.58573904459999,12
41.91756191392308,-87.746197417,12
41.87717248081818,-87.71093411154546,12
41.770696868083334,-87.72260009391665,12
41.975306737749996,-87.74833898625,12
41.8929512188,-87.6177704733,12
41.75810481522222,-87.62708159811112,12
41.7720718325,-87.673918926,12
41.854619513428574,-87.71515683042857,12
41.6591191998,-87.6035147356,12
41.74940623525,-87.7218860335,12
41.86754086438462,-87.61990654307692,12
41.954247488625,-87.669028979125,12
41.837738095666666,-87.665511245,12
